Gene	Safety_Score (0-28)	Safety_Profile_Assessment	Tissue_with_Safety_Concern
LSAMP	23	good	Adrenal_Gland:Brain:Cervix_Uteri:Colon:Lung:Prostate
AHNAK2	12	not good	many tissues
P4HB	0	not good	many tissues
SHC4	25	very good	Blood_Vessel:Brain:Nerve
C16orf52	1	not good	many tissues
NRG3	27	very good	Brain
C11orf87	28	very good	many tissues
CLDN24	28	very good	many tissues
KCNQ5	27	very good	Muscle
SLC52A2	0	not good	many tissues
OR6C76	28	very good	many tissues
BCAP31	0	not good	many tissues
EVI2B	19	not good	many tissues
TMPRSS11B	27	very good	Vagina
IFITM1	0	not good	many tissues
LAMP1	0	not good	many tissues
FFAR3	27	very good	Blood
TAS2R60	28	very good	many tissues
POMK	28	very good	many tissues
PTCH1	6	not good	many tissues
RTN4RL1	25	very good	Breast:Pituitary:Skin
OR4C46	28	very good	many tissues
CALHM1	28	very good	many tissues
NKAIN3	28	very good	many tissues
SLITRK2	25	very good	Brain:Nerve:Spleen
RASA3	2	not good	many tissues
ATP4B	27	very good	Stomach
HTR3E	28	very good	many tissues
CD300LF	25	very good	Blood:Lung:Spleen
HTR3D	28	very good	many tissues
OR4F5	28	very good	many tissues
OR5D14	28	very good	many tissues
OR5L1	28	very good	many tissues
OR5D18	28	very good	many tissues
TAS2R42	28	very good	many tissues
FFAR4	27	very good	Pituitary
SLC51B	26	very good	Kidney:Small_Intestine
BTLA	27	very good	Spleen
OR10D4P	28	very good	many tissues
GABRA5	27	very good	Brain
OR10T2	28	very good	many tissues
BACE1	1	not good	many tissues
SLC36A3	28	very good	many tissues
SLC36A2	25	very good	Kidney:Muscle:Nerve
OR10X1	28	very good	many tissues
CD300E	25	very good	Blood:Lung:Spleen
GLDN	21	good	Adipose_Tissue:Blood_Vessel:Brain:Breast:Lung:Nerve:Skin
FCAR	25	very good	Blood:Lung:Spleen
TRDN	24	good	Fallopian_Tube:Heart:Muscle:Pituitary
OR6P1	28	very good	many tissues
BTN3A2	1	not good	many tissues
OR9Q1	28	very good	many tissues
OR9Q2	28	very good	many tissues
CEACAM19	1	not good	many tissues
NF2	1	not good	many tissues
ARAP1	0	not good	many tissues
PDE2A	1	not good	many tissues
OR10H1	28	very good	many tissues
KCNK18	28	very good	many tissues
VSIG10L	23	good	Esophagus:Ovary:Salivary_Gland:Skin:Vagina
CXCR3	26	very good	Small_Intestine:Spleen
TPCN1	0	not good	many tissues
LILRB4	22	good	Adipose_Tissue:Adrenal_Gland:Blood:Lung:Small_Intestine:Spleen
TNFRSF4	23	good	Adipose_Tissue:Blood:Breast:Lung:Spleen
TRABD2A	25	very good	Blood:Ovary:Small_Intestine
QRFPR	28	very good	many tissues
MAPT	19	not good	many tissues
OR13F1	28	very good	many tissues
TNFRSF18	24	good	Blood:Skin:Small_Intestine:Spleen
RTN4RL2	26	very good	Liver:Thyroid
P2RY4	28	very good	many tissues
ZACN	12	not good	many tissues
OR13C8	28	very good	many tissues
RHD	28	very good	many tissues
GPR141	27	very good	Blood
TMPRSS6	26	very good	Liver:Pituitary
TMPRSS11A	27	very good	Vagina
OR2AK2	28	very good	many tissues
LILRA5	25	very good	Blood:Lung:Spleen
LYPD6	28	very good	many tissues
DYNC2H1	5	not good	many tissues
BCAM	1	not good	many tissues
NPSR1	28	very good	many tissues
EPOR	4	not good	many tissues
DCC	28	very good	many tissues
PCDHB13	28	very good	many tissues
MAGI2	23	good	Blood_Vessel:Brain:Nerve:Ovary:Pituitary
FPR3	25	very good	Adipose_Tissue:Adrenal_Gland:Lung
CDHR4	27	very good	Fallopian_Tube
GJA4	3	not good	many tissues
TLR5	23	good	Blood:Cervix_Uteri:Ovary:Salivary_Gland:Vagina
OR5W2	28	very good	many tissues
TMEM8C	28	very good	many tissues
TRPV2	4	not good	many tissues
OR2T27	28	very good	many tissues
GABRD	27	very good	Brain
OR52B6	28	very good	many tissues
SEMA4D	0	not good	many tissues
PEAR1	4	not good	many tissues
TMEM256-PLSCR3	0	not good	many tissues
P2RX2	28	very good	many tissues
OR6C75	28	very good	many tissues
PALM3	22	good	Bladder:Kidney:Liver:Pancreas:Stomach:Thyroid
GFRAL	28	very good	many tissues
SHISA7	27	very good	Brain
CLEC17A	27	very good	Spleen
OR51I2	28	very good	many tissues
DNER	23	good	Adrenal_Gland:Brain:Pituitary:Skin:Stomach
OR7D2	28	very good	many tissues
CLCN1	27	very good	Muscle
ARL4C	11	not good	many tissues
OR2AG2	28	very good	many tissues
AGRN	2	not good	many tissues
NHS	25	very good	Blood_Vessel:Cervix_Uteri:Nerve
OTOG	28	very good	many tissues
NCR3LG1	28	very good	many tissues
PLA2G2A	6	not good	many tissues
OR7A5	28	very good	many tissues
PLSCR1	0	not good	many tissues
OR6C6	28	very good	many tissues
SLC38A3	22	good	Brain:Liver:Muscle:Ovary:Pancreas:Pituitary
OR6N2	28	very good	many tissues
ZP3	26	very good	Adrenal_Gland:Skin
PDCD1	27	very good	Spleen
CLEC2A	27	very good	Skin
GPR21	28	very good	many tissues
SELL	24	good	Blood:Lung:Pituitary:Spleen
SERPINA5	17	not good	many tissues
OR2G6	28	very good	many tissues
PAQR9	27	very good	Liver
CLN3	0	not good	many tissues
ASAH2	28	very good	many tissues
RHCE	28	very good	many tissues
OR56A5	28	very good	many tissues
FZD9	28	very good	many tissues
PLET1	28	very good	many tissues
ADRB3	26	very good	Bladder:Ovary
SHISA6	26	very good	Brain:Nerve
ZDHHC11	8	not good	many tissues
CNR2	27	very good	Spleen
GLRA4	28	very good	many tissues
KLRG2	28	very good	many tissues
GJB3	26	very good	Skin:Vagina
SLC15A5	28	very good	many tissues
KIR2DL4	27	very good	Blood
VSTM1	26	very good	Blood:Pituitary
IL1RAPL2	28	very good	many tissues
CLDN4	15	not good	many tissues
OR14I1	28	very good	many tissues
PCDH18	14	not good	many tissues
GJB5	25	very good	Bladder:Skin:Vagina
NCR1	27	very good	Blood
GJB4	27	very good	Skin
OR2L13	28	very good	many tissues
IL1RAP	22	good	Blood:Liver:Lung:Salivary_Gland:Skin:Vagina
PTPRT	28	very good	many tissues
OR5K4	28	very good	many tissues
OR6M1	28	very good	many tissues
OR8A1	28	very good	many tissues
HLA-DRB1	0	not good	many tissues
VN1R2	28	very good	many tissues
FAT4	27	very good	Blood_Vessel
OR6K2	28	very good	many tissues
OR10J1	28	very good	many tissues
TMEM63A	0	not good	many tissues
SEMA4A	11	not good	many tissues
SIRPB2	24	good	Adipose_Tissue:Blood:Lung:Spleen
RYR1	24	good	Brain:Muscle:Nerve:Skin
OR2T2	28	very good	many tissues
OR2C3	28	very good	many tissues
OR10S1	28	very good	many tissues
OR10J3	28	very good	many tissues
GRM7	28	very good	many tissues
HLA-DRB9	28	very good	many tissues
NLGN3	25	very good	Adrenal_Gland:Brain:Nerve
OR8D1	28	very good	many tissues
CD55	0	not good	many tissues
NTNG2	26	very good	Blood:Brain
OR4Q2	28	very good	many tissues
EPHB4	1	not good	many tissues
SLC6A9	14	not good	many tissues
OR2T3	28	very good	many tissues
MME	17	not good	many tissues
CACNA1H	3	not good	many tissues
SULF2	0	not good	many tissues
PLXNB2	0	not good	many tissues
OR5AC2	28	very good	many tissues
AJAP1	28	very good	many tissues
MYO6	4	not good	many tissues
HRH1	26	very good	Blood_Vessel:Nerve
SLC30A10	27	very good	Liver
OR8B3	28	very good	many tissues
TRPV1	27	very good	Liver
HLA-DQA1	5	not good	many tissues
OR14A16	28	very good	many tissues
CD47	0	not good	many tissues
OR52K1	28	very good	many tissues
CHRNG	27	very good	Muscle
OR11G2	28	very good	many tissues
ADA	5	not good	many tissues
SCN8A	26	very good	Brain:Pituitary
HCAR1	28	very good	many tissues
FLNA	0	not good	many tissues
TMEM26	27	very good	Spleen
OR2L8	28	very good	many tissues
OR2T4	28	very good	many tissues
SLC39A10	5	not good	many tissues
SIGLEC15	28	very good	many tissues
IGF2R	0	not good	many tissues
SLC6A17	26	very good	Brain:Pituitary
PGAP1	23	good	Bladder:Lung:Ovary:Pituitary:Skin
SRC	1	not good	many tissues
OR8B8	28	very good	many tissues
PCNXL3	0	not good	many tissues
ADAM32	28	very good	many tissues
LRRC8B	25	very good	Adrenal_Gland:Brain:Nerve
ADGRA1	27	very good	Brain
SLC22A4	26	very good	Blood:Spleen
OR1J2	28	very good	many tissues
SLC2A7	28	very good	many tissues
OR10D3	28	very good	many tissues
SVIL	2	not good	many tissues
LRP10	0	not good	many tissues
LYPD2	26	very good	Skin:Vagina
SLC22A5	2	not good	many tissues
OR8S1	28	very good	many tissues
OR6N1	28	very good	many tissues
C5AR1	12	not good	many tissues
DCHS2	28	very good	many tissues
GGT3P	26	very good	Kidney:Thyroid
OR51D1	28	very good	many tissues
OPALIN	27	very good	Brain
OR13G1	28	very good	many tissues
OR2L5	28	very good	many tissues
COL13A1	24	good	Blood_Vessel:Cervix_Uteri:Lung:Prostate:Spleen
SPN	25	very good	Blood:Lung:Spleen
PCDHB11	28	very good	many tissues
SLC2A10	7	not good	many tissues
SLC28A3	25	very good	Pancreas:Salivary_Gland:Skin
OR6Y1	28	very good	many tissues
PIGN	12	not good	many tissues
KCNMB2	27	very good	Ovary
OR11L1	28	very good	many tissues
ENPP1	18	not good	many tissues
VN1R5	28	very good	many tissues
CDC42SE1	0	not good	many tissues
MPEG1	21	good	Adipose_Tissue:Adrenal_Gland:Blood:Colon:Lung:Small_Intestine:Spleen
DPP4	18	not good	many tissues
PDCD1LG2	28	very good	many tissues
SLC22A24	28	very good	many tissues
OR6C74	28	very good	many tissues
LHFPL5	28	very good	many tissues
OR5B17	28	very good	many tissues
OR52M1	28	very good	many tissues
OCLN	17	not good	many tissues
OR8G1	28	very good	many tissues
MYO1C	0	not good	many tissues
OR1S2	28	very good	many tissues
SLC22A12	27	very good	Kidney
SLC22A6	27	very good	Kidney
OR5H2	28	very good	many tissues
S100A6	0	not good	many tissues
MPZL1	0	not good	many tissues
MBP	1	not good	many tissues
CLEC9A	28	very good	many tissues
KEL	26	very good	Blood:Spleen
FCGR1B	26	very good	Blood:Spleen
AVPR1B	28	very good	many tissues
SIRPA	0	not good	many tissues
OR2T6	28	very good	many tissues
LPAR1	5	not good	many tissues
OR2L3	28	very good	many tissues
CLEC4C	28	very good	many tissues
CACNA1E	27	very good	Brain
CSF2RA	22	good	Adipose_Tissue:Blood:Breast:Lung:Nerve:Spleen
SLC29A3	18	not good	many tissues
OR5B21	28	very good	many tissues
HYLS1	28	very good	many tissues
ASPH	0	not good	many tissues
NTRK1	28	very good	many tissues
OR14L1P	28	very good	many tissues
HLA-DRB5	4	not good	many tissues
CTNND1	0	not good	many tissues
SLC34A3	28	very good	many tissues
ARC	25	very good	Brain:Pituitary:Skin
OR2M2	28	very good	many tissues
RYR2	19	not good	many tissues
C6orf89	0	not good	many tissues
OR10G6	28	very good	many tissues
SLC9A6	8	not good	many tissues
ABCA4	28	very good	many tissues
DLL1	6	not good	many tissues
LRRTM3	28	very good	many tissues
SLC5A3	23	good	Adrenal_Gland:Blood_Vessel:Kidney:Nerve:Thyroid
PLXNB3	9	not good	many tissues
GRIN3A	28	very good	many tissues
TMEM184B	0	not good	many tissues
SCAMP5	15	not good	many tissues
LRIG2	12	not good	many tissues
CD247	24	good	Blood:Lung:Small_Intestine:Spleen
GRM3	27	very good	Brain
SUCNR1	27	very good	Thyroid
GJC2	25	very good	Brain:Fallopian_Tube:Uterus
RYR3	23	good	Brain:Colon:Fallopian_Tube:Muscle:Uterus
CD3E	21	good	Bladder:Blood:Fallopian_Tube:Lung:Small_Intestine:Spleen:Stomach
GRK5	1	not good	many tissues
OR5D13	28	very good	many tissues
L1CAM	15	not good	many tissues
DMD	5	not good	many tissues
MFAP3L	22	good	Bladder:Brain:Kidney:Liver:Nerve:Skin
OR10R2	28	very good	many tissues
OR10Z1	28	very good	many tissues
OR1F2P	28	very good	many tissues
GP1BB	25	very good	Blood:Brain:Skin
OR2T5	28	very good	many tissues
OR2L2	28	very good	many tissues
OR2W5	28	very good	many tissues
CR1	26	very good	Blood:Spleen
RAET1G	26	very good	Adrenal_Gland:Vagina
GJE1	28	very good	many tissues
GPR52	28	very good	many tissues
FCGR3A	13	not good	many tissues
OR6K3	28	very good	many tissues
SPRN	26	very good	Brain:Liver
LIME1	1	not good	many tissues
NPY4R	28	very good	many tissues
SYT15	25	very good	Cervix_Uteri:Fallopian_Tube:Lung
BMPR2	3	not good	many tissues
OR13C3	28	very good	many tissues
HLA-DOA	18	not good	many tissues
HLA-DMA	0	not good	many tissues
HLA-DRA	0	not good	many tissues
BTNL2	28	very good	many tissues
OR8B2	28	very good	many tissues
TMEM225	28	very good	many tissues
NOTCH4	1	not good	many tissues
AGER	1	not good	many tissues
CD300LD	28	very good	many tissues
LAYN	9	not good	many tissues
SLC44A4	18	not good	many tissues
NEU1	0	not good	many tissues
C6orf25	26	very good	Blood:Skin
LY6G6C	26	very good	Skin:Vagina
LY6G6F	27	very good	Blood
NCR3	26	very good	Blood:Spleen
MICB	25	very good	Blood:Lung:Spleen
MICA	0	not good	many tissues
HLA-C	0	not good	many tissues
MUC21	27	very good	Vagina
LILRB3	17	not good	many tissues
DDR1	2	not good	many tissues
HLA-E	0	not good	many tissues
PTCHD2	28	very good	many tissues
HLA-G	27	very good	Pituitary
HLA-F	0	not good	many tissues
OR2H2	28	very good	many tissues
GABBR1	0	not good	many tissues
MAS1L	28	very good	many tissues
OR2H1	28	very good	many tissues
OR11A1	28	very good	many tissues
OR14J1	28	very good	many tissues
OR2J2	28	very good	many tissues
OR2J3	28	very good	many tissues
OR2J1	28	very good	many tissues
OR2B3	28	very good	many tissues
OR2W1	28	very good	many tissues
C9orf135	27	very good	Pituitary
MALRD1	27	very good	Small_Intestine
GPR20	28	very good	many tissues
CD177	24	good	Blood:Lung:Nerve:Prostate:Spleen
PCDHGA1	28	very good	many tissues
PCDHA9	28	very good	many tissues
PCDHA8	28	very good	many tissues
PCDHA7	28	very good	many tissues
PCDHA5	28	very good	many tissues
PCDHA4	28	very good	many tissues
PCDHA2	28	very good	many tissues
PCDHA1	28	very good	many tissues
OR5D16	28	very good	many tissues
OR5L2	28	very good	many tissues
TMEM231	8	not good	many tissues
PSENEN	0	not good	many tissues
LGR4	2	not good	many tissues
MUC12	26	very good	Colon:Prostate:Small_Intestine
OR6C68	28	very good	many tissues
OR6C65	28	very good	many tissues
OR6C3	28	very good	many tissues
OR6C1	28	very good	many tissues
ADGRG1	2	not good	many tissues
SLCO6A1	28	very good	many tissues
OR52E6	28	very good	many tissues
IZUMO3	28	very good	many tissues
OR52A4P	28	very good	many tissues
OR52J3	28	very good	many tissues
OR51A2	28	very good	many tissues
OR51A4	28	very good	many tissues
MFSD2B	27	very good	Blood
MANSC4	28	very good	many tissues
ITSN1	1	not good	many tissues
SLCO1B7	28	very good	many tissues
CRLF2	28	very good	many tissues
KLRC2	28	very good	many tissues
KLRC3	28	very good	many tissues
CLEC6A	28	very good	many tissues
IFITM5	28	very good	many tissues
ZDHHC11B	11	not good	many tissues
ATP10A	23	good	Adrenal_Gland:Blood_Vessel:Esophagus:Kidney:Lung
HLA-H	2	not good	many tissues
TMEM200C	28	very good	many tissues
OR10C1	28	very good	many tissues
HLA-A	0	not good	many tissues
CD200R1L	28	very good	many tissues
OR5K3	28	very good	many tissues
GNRHR2	26	very good	Brain:Pituitary
IGKV5-2	27	very good	Spleen
IGLV1-51	18	not good	many tissues
TRBV25-1	21	good	Blood:Fallopian_Tube:Liver:Lung:Small_Intestine:Spleen:Stomach
TRAV3	28	very good	many tissues
TRAV19	28	very good	many tissues
IGHG4	18	not good	many tissues
IGHG2	9	not good	many tissues
IGHA1	2	not good	many tissues
IGHG1	3	not good	many tissues
IGHM	13	not good	many tissues
IGHV4-34	22	good	Blood:Lung:Salivary_Gland:Small_Intestine:Spleen:Stomach
TAS2R19	28	very good	many tissues
TAS2R50	28	very good	many tissues
TAS2R14	28	very good	many tissues
TAS2R13	28	very good	many tissues
OR2A42	28	very good	many tissues
ACKR1	1	not good	many tissues
LINGO4	27	very good	Muscle
ASIC3	10	not good	many tissues
OR2F1	28	very good	many tissues
PTPRCAP	17	not good	many tissues
PVRIG	25	very good	Blood:Muscle:Spleen
OR5AC1	28	very good	many tissues
DNAJC9	0	not good	many tissues
VDAC1	0	not good	many tissues
LAT	2	not good	many tissues
S1PR3	9	not good	many tissues
KLRK1	23	good	Blood:Liver:Lung:Small_Intestine:Spleen
EMP2	1	not good	many tissues
SLC23A3	26	very good	Kidney:Small_Intestine
LTB4R	4	not good	many tissues
LTB4R2	22	good	Blood:Ovary:Salivary_Gland:Skin:Spleen:Vagina
CLDN9	26	very good	Blood:Pituitary
ITGA1	7	not good	many tissues
TSPAN4	0	not good	many tissues
SCART1	28	very good	many tissues
VSTM5	28	very good	many tissues
GPR33	28	very good	many tissues
RP11-477N12.3	28	very good	many tissues
PRSS41	28	very good	many tissues
KCNU1	28	very good	many tissues
GCGR	25	very good	Kidney:Liver:Nerve
RSC1A1	28	very good	many tissues
TNFRSF25	1	not good	many tissues
BTNL10	28	very good	many tissues
TENM3	26	very good	Adrenal_Gland:Nerve
LINGO3	26	very good	Blood:Spleen
OR1F12	28	very good	many tissues
OR6B1	28	very good	many tissues
OR2A5	28	very good	many tissues
OR4A5	28	very good	many tissues
TAS2R41	28	very good	many tissues
OR2A12	28	very good	many tissues
PLXNA4	27	very good	Adipose_Tissue
OR3A2	28	very good	many tissues
OR1C1	28	very good	many tissues
NPTXR	15	not good	many tissues
OR2F2	28	very good	many tissues
OR6X1	28	very good	many tissues
OR2A25	28	very good	many tissues
TAS2R40	28	very good	many tissues
OR2A14	28	very good	many tissues
OR4C12	28	very good	many tissues
SLC12A8	24	good	Liver:Pancreas:Salivary_Gland:Thyroid
KIR2DS4	27	very good	Blood
OR2A1	28	very good	many tissues
OR4E2	28	very good	many tissues
OR2A2	28	very good	many tissues
OR52B4	28	very good	many tissues
HLA-DPB1	0	not good	many tissues
PRRT4	27	very good	Adipose_Tissue
SLC26A6	0	not good	many tissues
OR6V1	28	very good	many tissues
ELFN1	27	very good	Liver
OR4A8	28	very good	many tissues
HLA-DQB3	28	very good	many tissues
OR52I2	28	very good	many tissues
NPY6R	25	very good	Adrenal_Gland:Heart:Small_Intestine
TRBV2	27	very good	Blood
TAS2R46	28	very good	many tissues
ERVMER34-1	28	very good	many tissues
LTA	26	very good	Blood:Spleen
OR2T7	28	very good	many tissues
TRGC2	24	good	Blood:Lung:Prostate:Small_Intestine:Spleen
SCAMP4	0	not good	many tissues
LTB	23	good	Blood:Kidney:Lung:Small_Intestine:Spleen
OR2M3	28	very good	many tissues
VN1R4	28	very good	many tissues
C1orf233	24	good	Adrenal_Gland:Brain:Pituitary:Skin
CLDN25	28	very good	many tissues
OR5H6	28	very good	many tissues
OR5H1	28	very good	many tissues
HLA-DPA1	0	not good	many tissues
TSPAN19	28	very good	many tissues
OR5K2	28	very good	many tissues
OR52I1	28	very good	many tissues
OR5K1	28	very good	many tissues
HLA-DQB2	25	very good	Lung:Skin:Spleen
TNF	27	very good	Blood
OR5H15	28	very good	many tissues
OR10G8	28	very good	many tissues
HLA-B	0	not good	many tissues
SHISA8	27	very good	Adrenal_Gland
TMEM30C	28	very good	many tissues
SMIM1	17	not good	many tissues
NFAM1	25	very good	Blood:Lung:Spleen
MFRP	28	very good	many tissues
VN1R17P	28	very good	many tissues
OR5H14	28	very good	many tissues
CLEC2L	27	very good	Brain
TAS2R39	28	very good	many tissues
OR10G9	28	very good	many tissues
TAAR9	28	very good	many tissues
OR4A47	28	very good	many tissues
SHISA9	28	very good	many tissues
OR7E24	28	very good	many tissues
HLA-DQA2	25	very good	Lung:Skin:Spleen
OR9A1P	28	very good	many tissues
OR2I1P	28	very good	many tissues
LRRC37A2	0	not good	many tissues
OR2W3	27	very good	Blood
PCDHA13	28	very good	many tissues
OR1J4	28	very good	many tissues
TNFSF12	0	not good	many tissues
LILRA4	27	very good	Spleen
LILRA2	25	very good	Blood:Lung:Spleen
PCDHGC3	1	not good	many tissues
KIR3DL2	28	very good	many tissues
TNFRSF13B	26	very good	Small_Intestine:Spleen
AQP1	0	not good	many tissues
PCDHGC5	28	very good	many tissues
OR14A2	28	very good	many tissues
TDGF1	26	very good	Ovary:Spleen
OR5G3	28	very good	many tissues
CD302	5	not good	many tissues
TMEFF1	28	very good	many tissues
PI4KA	0	not good	many tissues
KIR3DL3	28	very good	many tissues
OR51B5	28	very good	many tissues
PCDHGC4	28	very good	many tissues
STRC	26	very good	Brain:Pituitary
ERVW-1	28	very good	many tissues
PCDHAC2	28	very good	many tissues
VSIG8	27	very good	Skin
EFNA4	11	not good	many tissues
TICAM2	28	very good	many tissues
PALM2	28	very good	many tissues
IL10RB	0	not good	many tissues
OR5V1	28	very good	many tissues
KIR2DL3	27	very good	Blood
OR2A7	26	very good	Skin:Thyroid
P2RY11	2	not good	many tissues
ERVFRD-1	28	very good	many tissues
LILRA6	24	good	Adipose_Tissue:Blood:Lung:Spleen
SCARF2	5	not good	many tissues
OR2AE1	28	very good	many tissues
FCGR2C	8	not good	many tissues
PTCHD4	28	very good	many tissues
PCDHAC1	28	very good	many tissues
TARM1	28	very good	many tissues
PCDHA11	28	very good	many tissues
OR10J4	28	very good	many tissues
ECSCR	4	not good	many tissues
PCDHA10	28	very good	many tissues
GYPB	27	very good	Blood
GPR162	9	not good	many tissues
IGKV1D-39	16	not good	many tissues
PCDHA12	28	very good	many tissues
PCDHGA12	28	very good	many tissues
PCDHGB6	27	very good	Ovary
C1orf210	17	not good	many tissues
PCDHGA5	28	very good	many tissues
PCDHGA7	28	very good	many tissues
SLC10A5	28	very good	many tissues
PCDHGA6	28	very good	many tissues
PCDHGA8	28	very good	many tissues
PCDHGA10	28	very good	many tissues
PCDHGA11	28	very good	many tissues
PCDHGB2	28	very good	many tissues
PCDHGB4	28	very good	many tissues
CLDN23	18	not good	many tissues
LYN	9	not good	many tissues
PCDHGB7	22	good	Adrenal_Gland:Blood_Vessel:Cervix_Uteri:Lung:Ovary:Uterus
PCDHGB1	28	very good	many tissues
PCDHGA3	28	very good	many tissues
SIGLEC14	25	very good	Blood:Lung:Spleen
OR4D10	28	very good	many tissues
SIGLEC12	27	very good	Spleen
OR8J2	28	very good	many tissues
OR10G4	28	very good	many tissues
OR4A4P	28	very good	many tissues
OR5M10	28	very good	many tissues
OR5M1	28	very good	many tissues
OR1D4	28	very good	many tissues
OR5M11	28	very good	many tissues
OR8G5	28	very good	many tissues
OR52B2	28	very good	many tissues
TAS2R43	28	very good	many tissues
HCAR3	25	very good	Blood:Skin:Spleen
PCDHA3	28	very good	many tissues
OR10G2	28	very good	many tissues
OR4D2	28	very good	many tissues
OR6J1	28	very good	many tissues
TAS2R20	28	very good	many tissues
TAS2R30	28	very good	many tissues
ASIC5	28	very good	many tissues
TAS2R31	28	very good	many tissues
OR13A1	28	very good	many tissues
CLEC12B	28	very good	many tissues
KLRAP1	26	very good	Fallopian_Tube:Nerve
KLRF2	28	very good	many tissues
SLC5A8	27	very good	Thyroid
GPR142	28	very good	many tissues
OR11H12	28	very good	many tissues
TAS2R38	28	very good	many tissues
MGAM	25	very good	Blood:Small_Intestine:Spleen
OR9A4	28	very good	many tissues
CLEC5A	27	very good	Blood
OR11H2	28	very good	many tissues
OR11H7	28	very good	many tissues
OR4C13	28	very good	many tissues
MC1R	10	not good	many tissues
ITGB3	17	not good	many tissues
IGHV4OR15-8	28	very good	many tissues
INAFM2	1	not good	many tissues
LYPD8	27	very good	Small_Intestine
MRC1	16	not good	many tissues
KCNJ18	27	very good	Skin
CTD-2270P14.1	1	not good	many tissues
OR4C45	28	very good	many tissues
MUC22	28	very good	many tissues
PECAM1	1	not good	many tissues
PCDHGA9	28	very good	many tissues
GFY	28	very good	many tissues
OR1P1	28	very good	many tissues
PCDHGB3	28	very good	many tissues
PCDHGA4	28	very good	many tissues
OR1D5	28	very good	many tissues
OR52L2P	28	very good	many tissues
GJA5	20	not good	many tissues
S1PR2	20	not good	many tissues
GABRQ	28	very good	many tissues
SLC6A14	26	very good	Lung:Salivary_Gland
OPN1MW	28	very good	many tissues
ADGRE4P	27	very good	Spleen
TRABD2B	26	very good	Blood_Vessel:Kidney
OPN1MW	28	very good	many tissues
CTC-360G5.9	27	very good	Liver
GPR32P1	28	very good	many tissues
MILR1	22	good	Adipose_Tissue:Blood:Blood_Vessel:Lung:Nerve:Spleen
CD24	7	not good	many tissues
PCDHB16	28	very good	many tissues
OR5AL1	28	very good	many tissues
GRIN2B	28	very good	many tissues
OR52E1	28	very good	many tissues
LYPD4	28	very good	many tissues
CEACAM20	27	very good	Small_Intestine
OR4M2	28	very good	many tissues
ADRA2B	27	very good	Spleen
TRBV12-3	27	very good	Blood
OR13C2	28	very good	many tissues
OR4E1	28	very good	many tissues
PCDHGB5	28	very good	many tissues
ICOSLG	28	very good	Spleen:NormalTCGA_Rectum
PIGW	26	very good	Muscle:Skin
GPR179	28	very good	many tissues
MARCKS	1	not good	many tissues
PKD1L3	28	very good	many tissues
GPIHBP1	12	not good	many tissues
OR13C5	28	very good	many tissues
TRAC	9	not good	many tissues
OR52E5	28	very good	many tissues
SSTR3	28	very good	many tissues
C17orf78	27	very good	Small_Intestine
OR4F29	28	very good	many tissues
OR51G1	28	very good	many tissues
OR2S2	28	very good	many tissues
OR51B2	28	very good	many tissues
OR6Q1	28	very good	many tissues
OR10X1	28	very good	many tissues
OR8D2	28	very good	many tissues
OR2L8	28	very good	many tissues
OR52R1	28	very good	many tissues
OR2T11	28	very good	many tissues
OR5L1	28	very good	many tissues
OR2AG1	28	very good	many tissues
OR4C16	28	very good	many tissues
OR5D13	28	very good	many tissues
OR5R1	28	very good	many tissues
OR51F1	28	very good	many tissues
OR8B4	28	very good	many tissues
OR1B1	28	very good	many tissues
PCDH20	28	very good	many tissues
OR1S1	28	very good	many tissues
OR12D2	28	very good	many tissues
